E Number,Start,Lab01,Lab04,Lab05
E/15/016,0,2,2,2
E/17/005,0,0.6,1.5,2
E/17/006,0,2,1.4,1.15
E/17/012,0,2,1,0.6
E/17/015,0,2,2,2
E/17/018,0,2,2,2
E/17/027,0,2,0.5,2
E/17/038,0,2,0.3,1.4
E/17/040,0,2,1.2,2
E/17/044,0,2,2,2
E/17/058,0,2,1.3,2
E/17/065,0,2,2,2
E/17/072,0,2,1.4,2
E/17/083,0,2,1.5,1.4
E/17/090,0,2,1.5,2
E/17/091,0,2,2,1
E/17/100,0,2,2,1.4
E/17/101,0,2,2,2
E/17/122,0,0.6,2,2
E/17/134,0,2,2,2
E/17/144,0,2,2,1
E/17/148,0,0.6,1.5,2
E/17/153,0,2,1.2,2
E/17/154,0,1.8,2,2
E/17/159,0,2,1.2,2
E/17/168,0,2,2,2
E/17/176,0,2,1.3,1
E/17/190,0,2,2,2
E/17/194,0,2,2,2
E/17/201,0,2,1.8,2
E/17/206,0,2,1.8,2
E/17/207,0,2,1.3,2
E/17/212,0,2,2,2
E/17/219,0,2,1.5,1.8
E/17/230,0,2,0.7,2
E/17/240,0,2,2,2
E/17/242,0,2,2,1.8
E/17/246,0,2,2,2
E/17/251,0,1.2,0.6,2
E/17/252,0,2,1.2,2
E/17/256,0,2,1.9,2
E/17/284,0,2,2,2
E/17/292,0,2,1.2,2
E/17/294,0,2,2,2
E/17/296,0,2,2,2
E/17/297,0,2,1.8,2
E/17/312,0,2,1.4,2
E/17/318,0,2,2,2
E/17/327,0,2,1.5,2
E/17/331,0,1.6,1.2,2
E/17/338,0,2,1.2,1
E/17/342,0,2,2,2
E/17/352,0,2,2,2
E/17/356,0,2,2,2
E/17/358,0,2,2,2
E/17/369,0,2,2,2
E/17/379,0,1.8,0.5,1.4
E/17/380,0,2,2,2
E/17/398,0,2,1.1,2
E/17/405,0,2,1.5,1.45
E/17/407,0,2,2,1.7
E/17/064,0,2,2,2
E/17/388,0,2,2,2
E/17/035,0,2,1.2,1
E/17/156,0,0.9,0.5,2
E/17/259,0,0.6,0.9,2
E/17/004,0,1.8,1.1,2
E/17/024,0,1.3,2,2
E/17/008,0,2,0,0.15
E/17/053,0,1.1,0,1.4
E/17/286,0,2,0.7,1.15
MAXIMUM,0,2,2,2
